FPOGX,FPOGY,FPOGD,BPOGX,BPOGY
0.42161,0.5421,0.24622,0.39957,0.64774
0.39353,0.61668,0.21362,0.3691,0.54373
0.40228,0.51232,0.49292,0.41133,0.66732
0.42829,0.58622,0.54211,0.52354,0.51662
0.4957,0.53103,0.31213,0.51327,0.46471
0.48802,0.48572,0.57507,0.50493,0.38794
0.48628,0.49998,0.31177,0.45747,0.5099
0.43796,0.52999,0.31226,0.40736,0.52473
0.42938,0.49614,0.31201,0.51553,0.51695
0.48195,0.46725,0.27917,0.47816,0.44658
0.48574,0.44344,0.34497,0.41258,0.50652
0.44912,0.48116,0.26282,0.46442,0.39584
0.40123,0.49833,0.04956,0.1694,0.64709
0.21199,0.59557,0.2301,0.26168,0.39684
0.28153,0.38732,0.36182,0.4078,0.55647
0.4132,0.50127,1.51123,0.38962,0.38015
0.38912,0.42706,0.67358,0.37771,0.34851
0.43189,0.43587,0.75562,0.40781,0.56626
0.33479,0.49765,0.21362,0.2842,0.49997
0.29557,0.49583,0.24622,0.5478,0.36721
0.45783,0.34763,0.29578,0.36111,0.30221
0.36202,0.3561,0.27942,0.33146,0.45701
0.4048,0.40883,0.23022,0.55517,0.40877
0.49732,0.35659,0.31189,0.4686,0.34606
0.44165,0.33517,0.27917,0.34592,0.34769
0.3769,0.3509,0.39417,0.41145,0.35995
0.39801,0.32775,0.55859,0.3268,0.47196
0.28579,0.50687,0.21362,0.4341,0.34545
0.41452,0.32762,0.39404,0.41315,0.2421
0.41808,0.28382,0.52551,0.4335,0.23802
0.41558,0.28686,0.26282,0.32509,0.35586
0.39178,0.2915,0.2301,0.4576,0.25177
0.44733,0.29338,0.44336,0.42183,0.23625
0.43194,0.25846,0.37756,0.46916,0.24472
0.47305,0.20402,0.54211,0.4927,0.21198
0.47696,0.2203,0.36157,0.43499,0.28097
0.4617,0.31141,0.41077,0.35311,0.24467
0.36235,0.27095,0.26306,0.26455,0.47941
0.28304,0.49143,0.27942,0.40378,0.37628
0.32978,0.36715,0.26257,0.27014,0.3649
0.25173,0.47966,0.52527,0.2216,0.52512
0.24572,0.48269,0.47644,0.47981,0.28777
0.47112,0.30544,0.42712,0.56343,0.39347
0.43682,0.38528,0.27917,0.3871,0.30311
0.3743,0.38627,0.22998,0.30984,0.47879
0.31017,0.4639,0.2627,0.4336,0.36619
0.45163,0.36461,0.41077,0.36176,0.43013
0.25391,0.54565,0.59143,0.30009,0.53163
0.29262,0.48083,0.24634,0.31025,0.51291
0.31247,0.44985,0.32849,0.35746,0.29236
0.35794,0.33936,0.42712,0.33543,0.46282
0.31288,0.41864,0.50928,0.45671,0.35606
0.46442,0.37347,0.26282,0.45259,0.3059
0.4473,0.31971,0.64087,0.48205,0.25174
