FPOGX,FPOGY,FPOGD,BPOGX,BPOGY
0.49697,0.6666,0.2464,0.44741,0.65519
0.44831,0.59849,0.24652,0.48717,0.37199
0.50647,0.44565,0.22992,0.45006,0.7013
0.43836,0.66459,0.72272,0.45896,0.61986
0.47256,0.63736,0.39423,0.49225,0.73966
0.51032,0.68634,0.46002,0.52108,0.62755
0.58976,0.55867,0.22913,0.5991,0.41136
0.52677,0.55995,0.2135,0.48074,0.63151
0.44538,0.53304,0.26288,0.39189,0.49803
0.44146,0.51779,0.27911,0.49447,0.49571
0.47248,0.51686,0.49286,0.36765,0.49883
0.46237,0.55617,0.37787,0.46521,0.64109
0.41735,0.72084,0.2135,0.34581,0.87536
0.47049,0.73423,0.1972,0.55762,0.6771
0.66014,0.72898,0.2135,0.8163,0.74388
0.83399,0.77669,0.3446,0.87584,0.92881
0.74341,0.84485,0.22925,0.68159,0.83484
0.62951,0.80304,0.29553,0.5886,0.82674
0.57615,0.81702,0.91998,0.72857,0.82964
0.70119,0.80733,0.31213,0.8028,0.7287
0.7792,0.75595,0.72235,0.80251,0.76843
0.78199,0.77466,0.4931,0.91099,0.83203
0.90251,0.85488,0.3941,0.96274,0.86412
0.89495,0.75643,0.23016,0.82261,0.71241
0.76046,0.68655,0.26221,0.71273,0.68027
0.65384,0.66881,0.29559,0.56493,0.61426
0.54573,0.62254,0.45966,0.56667,0.63304
0.56612,0.62445,0.77197,0.54993,0.52659
0.60353,0.64187,0.2301,0.75208,0.78061
0.71575,0.77922,0.50952,0.73808,0.78432
0.75225,0.73836,0.24622,0.81853,0.71346
0.80122,0.71197,0.31281,0.83273,0.68359
0.74852,0.68759,0.27911,0.65421,0.64633
0.771,0.56367,0.21332,0.7834,0.50999
0.82598,0.45291,0.22992,0.83912,0.45032
0.71859,0.40326,0.21338,0.64784,0.39376
0.62999,0.3878,0.36139,0.71849,0.41496
0.79071,0.38678,0.34497,0.77725,0.31214
0.70056,0.49323,0.21375,0.65728,0.5344
0.64068,0.54956,0.32654,0.84588,0.63064
0.79631,0.64178,0.34473,0.72756,0.65727
0.6059,0.69703,0.34485,0.56867,0.76499
0.57355,0.80551,0.46002,0.6405,0.77084
0.57279,0.7337,0.24615,0.5465,0.74955
0.54321,0.7353,0.34515,0.56929,0.77611
0.57576,0.7271,1.37982,0.59499,0.66992
0.55499,0.67089,0.31207,0.46264,0.61331
0.50496,0.64316,0.37799,0.54645,0.67021
0.57402,0.70193,0.27924,0.58036,0.70455
0.56235,0.63649,0.24652,0.51191,0.5979
0.55903,0.69204,0.22986,0.57432,0.7805
0.58424,0.79068,0.16437,0.54143,0.86198
0.52659,0.5815,0.22986,0.49761,0.55526
0.46072,0.49444,0.26276,0.42212,0.49979
